"sto_plz";"bundesland";"gebaeude_baujahr";"energietraeger";"abrechnungsjahr";"gebaeude_nutzflaeche";"verbrauch_gesamt_kwh";"verbrauch_gesamt_kwh_spez";"Landkreis_von_GS";"gtype"
"13583";"Berlin";1989;"erdgas";2004;124,8;18900;181,73;"Berlin, Stadt";"SFH"
"12437";"Berlin";1990;"erdgas";2004;168;16728,3;119,49;"Berlin, Stadt";"SFH"
"12355";"Berlin";1998;"fernwaerme";2004;115,2;6580;68,54;"Berlin, Stadt";"SFH"
"12045";"Berlin";1961;"heizoel";2003;150;30000;240;"Berlin, Stadt";"SFH"
"12109";"Berlin";1963;"heizoel";2004;108;16329,6;181,44;"Berlin, Stadt";"SFH"
"12555";"Berlin";1929;"erdgas";2003;120;25415;254,15;"Berlin, Stadt";"SFH"
"10318";"Berlin";1935;"erdgas";2002;250,8;48002,05;229,67;"Berlin, Stadt";"SFH"
"14055";"Berlin";1926;"heizoel";2003;240;80000,02;400;"Berlin, Stadt";"SFH"
"14057";"Berlin";1933;"heizoel";2003;144;36000,01;300;"Berlin, Stadt";"SFH"
"13158";"Berlin";2002;"erdgas";2004;102;10419,3;122,58;"Berlin, Stadt";"SFH"
"12349";"Berlin";1976;"erdgas";2004;150;16133,4;129,07;"Berlin, Stadt";"SFH"
"14167";"Berlin";1989;"heizoel";2004;168;20160;144;"Berlin, Stadt";"SFH"
"12623";"Berlin";1936;"erdgas";2004;156;27461,7;211,24;"Berlin, Stadt";"SFH"
"12109";"Berlin";1936;"erdgas";2004;108;15472,8;171,92;"Berlin, Stadt";"SFH"
"13467";"Berlin";1984;"heizoel";2004;127,2;25000,01;235,85;"Berlin, Stadt";"SFH"
"12683";"Berlin";1999;"erdgas";2003;150;14435,55;115,48;"Berlin, Stadt";"SFH"
"12685";"Berlin";1993;"erdgas";2004;165,6;23400;169,57;"Berlin, Stadt";"SFH"
"13587";"Berlin";1962;"heizoel";2002;114;30000;315,79;"Berlin, Stadt";"SFH"
"12621";"Berlin";1987;"heizoel";2004;360;53500;178,33;"Berlin, Stadt";"SFH"
"12279";"Berlin";1900;"heizoel";2003;204;25000,01;147,06;"Berlin, Stadt";"SFH"
"12209";"Berlin";1970;"heizoel";2004;198;28000,02;169,7;"Berlin, Stadt";"SFH"
"10319";"Berlin";1999;"erdgas";2004;230,4;18900;98,44;"Berlin, Stadt";"SFH"
"10365";"Berlin";1949;"heizoel";2004;72;16199,97;270;"Berlin, Stadt";"SFH"
"13465";"Berlin";1974;"erdgas";2003;109,2;15420;169,45;"Berlin, Stadt";"SFH"
"14165";"Berlin";1978;"heizoel";2003;115,2;22000;229,17;"Berlin, Stadt";"SFH"
"14165";"Berlin";1922;"heizoel";2002;150;34999,98;280;"Berlin, Stadt";"SFH"
"12555";"Berlin";1974;"erdgas";2004;138;23625;205,43;"Berlin, Stadt";"SFH"
"13509";"Berlin";2001;"heizoel";2003;192;25299,99;158,12;"Berlin, Stadt";"SFH"
"13467";"Berlin";1959;"erdgas";2003;132;34807,5;316,43;"Berlin, Stadt";"SFH"
"14055";"Berlin";1950;"heizoel";2004;166,8;39999,96;287,77;"Berlin, Stadt";"SFH"
"10713";"Berlin";1924;"erdgas";2003;120;20700;207;"Berlin, Stadt";"SFH"
"13158";"Berlin";1998;"erdgas";2003;384;63000;196,88;"Berlin, Stadt";"SFH"
"12681";"Berlin";1985;"heizoel";2003;184,8;20000,03;129,87;"Berlin, Stadt";"SFH"
"12683";"Berlin";1995;"erdgas";2004;157,2;13257;101,2;"Berlin, Stadt";"SFH"
"12487";"Berlin";1995;"erdgas";2003;174;9350;64,48;"Berlin, Stadt";"SFH"
"10315";"Berlin";1950;"erdgas";2004;66;3084,3;56,08;"Berlin, Stadt";"SFH"
"12249";"Berlin";1961;"heizoel";2004;156;16632;127,94;"Berlin, Stadt";"SFH"
"10318";"Berlin";1935;"erdgas";2004;194,64;39277,8;242,16;"Berlin, Stadt";"SFH"
"12101";"Berlin";1955;"erdgas";2004;147,6;10800;87,8;"Berlin, Stadt";"SFH"
"10999";"Berlin";1920;"heizoel";2004;42;9999,96;285,71;"Berlin, Stadt";"SFH"
"12305";"Berlin";1977;"heizoel";2003;120;30000;300;"Berlin, Stadt";"SFH"
"12683";"Berlin";1937;"erdgas";2004;120;17955;179,55;"Berlin, Stadt";"SFH"
"12205";"Berlin";1925;"heizoel";2004;300;40924,8;163,7;"Berlin, Stadt";"SFH"
"13089";"Berlin";1929;"erdgas";2002;252;27200;129,52;"Berlin, Stadt";"SFH"
"14165";"Berlin";1963;"heizoel";2004;144;25000,01;208,33;"Berlin, Stadt";"SFH"
"12101";"Berlin";1926;"heizoel";2003;240;42999,97;215;"Berlin, Stadt";"SFH"
"12347";"Berlin";1988;"heizoel";2004;180;23000,04;153,33;"Berlin, Stadt";"SFH"
"12107";"Berlin";1984;"heizoel";2004;138;23999,98;208,7;"Berlin, Stadt";"SFH"
"13129";"Berlin";1987;"erdgas";2004;192;30769,2;192,31;"Berlin, Stadt";"SFH"
"12527";"Berlin";1936;"erdgas";2002;202,8;46596,6;275,72;"Berlin, Stadt";"SFH"
"10435";"Berlin";1978;"heizoel";2003;240;30000;150;"Berlin, Stadt";"SFH"
"12621";"Berlin";1995;"heizoel";2002;144;15000,05;125;"Berlin, Stadt";"SFH"
"13359";"Berlin";1900;"erdgas";2003;90;5868,5;78,25;"Berlin, Stadt";"SFH"
"12685";"Berlin";1983;"heizoel";2003;144;28999,96;241,67;"Berlin, Stadt";"SFH"
"12623";"Berlin";2002;"erdgas";2003;180;29019,6;193,46;"Berlin, Stadt";"SFH"
"12205";"Berlin";1960;"erdgas";2003;108;14175;157,5;"Berlin, Stadt";"SFH"
"12683";"Berlin";1997;"erdgas";2002;144;10111,5;84,26;"Berlin, Stadt";"SFH"
"13505";"Berlin";2000;"erdgas";2003;120;36855;368,55;"Berlin, Stadt";"SFH"
"13437";"Berlin";1938;"heizoel";2004;240;23999,98;120;"Berlin, Stadt";"SFH"
"13595";"Berlin";1995;"erdgas";2002;120;7200;72;"Berlin, Stadt";"SFH"
"13051";"Berlin";1928;"erdgas";2002;139,2;22938,95;197,75;"Berlin, Stadt";"SFH"
"12207";"Berlin";1914;"heizoel";2004;385,2;69559,96;216,7;"Berlin, Stadt";"SFH"
"12101";"Berlin";1926;"heizoel";2004;240;44000,01;220;"Berlin, Stadt";"SFH"
"13437";"Berlin";1986;"heizoel";2004;228;20000,03;105,26;"Berlin, Stadt";"SFH"
"12205";"Berlin";2003;"fernwaerme";2003;148,8;10024;80,84;"Berlin, Stadt";"SFH"
"14197";"Berlin";1920;"erdgas";2004;72;16200;270;"Berlin, Stadt";"SFH"
"12559";"Berlin";1967;"heizoel";2002;159,6;34999,98;263,16;"Berlin, Stadt";"SFH"
"13439";"Berlin";1980;"heizoel";2003;120;12999,97;130;"Berlin, Stadt";"SFH"
"13467";"Berlin";1969;"heizoel";2004;132;22000;200;"Berlin, Stadt";"SFH"
