plz;ort;bundesland;FW ja/nein?
24634;Arpsdorf;Schleswig-Holstein;keine fernwaerme
93474;Arrach;Bayern;keine fernwaerme
6556;Artern/Unstrut;Thüringen;keine fernwaerme
21380;Artlenburg;Niedersachsen;keine fernwaerme
56337;Arzbach;Rheinland-Pfalz;keine fernwaerme
4886;Arzberg;Sachsen;keine fernwaerme
95659;Arzberg;Bayern;keine fernwaerme
54687;Arzfeld;Rheinland-Pfalz;keine fernwaerme
53567;Asbach;Rheinland-Pfalz;keine fernwaerme
55758;Asbach;Rheinland-Pfalz;keine fernwaerme
86663;Asbach-Bäumenheim;Bayern;keine fernwaerme
37318;Asbach-Sickenberg;Thüringen;keine fernwaerme
94347;Ascha;Bayern;fernwaerme
63739;Aschaffenburg;Bayern;fernwaerme
63741;Aschaffenburg;Bayern;keine fernwaerme
63743;Aschaffenburg;Bayern;fernwaerme
84544;Aschau am Inn;Bayern;keine fernwaerme
83229;Aschau im Chiemgau;Bayern;keine fernwaerme
67753;Aschbach;Rheinland-Pfalz;keine fernwaerme
59387;Ascheberg;Nordrhein-Westfalen;keine fernwaerme
24326;Ascheberg;Schleswig-Holstein;keine fernwaerme
24358;Ascheffel;Schleswig-Holstein;keine fernwaerme
98634;Aschenhausen;Thüringen;fernwaerme
6449;Aschersleben;Sachsen-Anhalt;fernwaerme
85609;Aschheim;Bayern;fernwaerme
21271;Asendorf;Niedersachsen;keine fernwaerme
27330;Asendorf;Niedersachsen;keine fernwaerme
71546;Aspach;Baden-Württemberg;keine fernwaerme
71679;Asperg;Baden-Württemberg;keine fernwaerme
55459;Aspisheim;Rheinland-Pfalz;keine fernwaerme
97959;Assamstadt;Baden-Württemberg;keine fernwaerme
89176;Asselfingen;Baden-Württemberg;keine fernwaerme
35614;Aßlar;Hessen;keine fernwaerme
83565;Aßling;Bayern;keine fernwaerme
85617;Aßling;Bayern;fernwaerme
57627;Astert;Rheinland-Pfalz;keine fernwaerme
57439;Attendorn;Nordrhein-Westfalen;keine fernwaerme
56370;Attenhausen;Rheinland-Pfalz;keine fernwaerme
84091;Attenhofen;Bayern;keine fernwaerme
85395;Attenkirchen;Bayern;keine fernwaerme
88448;Attenweiler;Baden-Württemberg;keine fernwaerme
94348;Atting;Bayern;keine fernwaerme
57629;Atzelgift;Rheinland-Pfalz;keine fernwaerme
79280;Au;Baden-Württemberg;keine fernwaerme
76474;Au am Rhein;Baden-Württemberg;keine fernwaerme
97239;Aub;Bayern;keine fernwaerme
97633;Aubstadt;Bayern;keine fernwaerme
56766;Auderath;Rheinland-Pfalz;keine fernwaerme
8280;Aue;Sachsen;fernwaerme
56357;Auel;Rheinland-Pfalz;keine fernwaerme
55569;Auen;Rheinland-Pfalz;keine fernwaerme
98673;Auengrund;Thüringen;keine fernwaerme
71549;Auenwald;Baden-Württemberg;keine fernwaerme
9392;Auerbach;Sachsen;keine fernwaerme
94530;Auerbach;Bayern;keine fernwaerme
91275;Auerbach in der Oberpfalz;Bayern;keine fernwaerme
8209;Auerbach/Vogtland;Sachsen;fernwaerme
31749;Auetal;Niedersachsen;keine fernwaerme
93089;Aufhausen;Bayern;keine fernwaerme
