"sto_plz";"bundesland";"gebaeude_baujahr";"energietraeger";"abrechnungsjahr";"gebaeude_nutzflaeche";"verbrauch_gesamt_kwh";"verbrauch_gesamt_kwh_spez";"Landkreis_von_GS";"gtype"
68165;"Baden-Württemberg";1964;"waerme";2006;548,4;34520;75,54;"Mannheim";"MFH"
68259;"Baden-Württemberg";2001;"erdgas";2005;485,69;30457,8;75,25;"Mannheim";"MFH"
68239;"Baden-Württemberg";1996;"waerme";2007;796,62;54280;81,77;"Mannheim";"MFH"
68219;"Baden-Württemberg";1960;"heizoel";2013;367,2;30250,08;98,86;"Mannheim";"MFH"
68165;"Baden-Württemberg";1957;"waerme";2006;1476;123670;100,54;"Mannheim";"MFH"
68229;"Baden-Württemberg";1972;"erdgas";2005;384;70000;218,75;"Mannheim";"MFH"
68163;"Baden-Württemberg";1980;"waerme";2005;1368,72;124440;109,1;"Mannheim";"MFH"
68219;"Baden-Württemberg";1980;"erdgas";2004;723;77508;128,65;"Mannheim";"MFH"
68161;"Baden-Württemberg";1987;"waerme";2006;1938,43;271460;168,05;"Mannheim";"MFH"
68229;"Baden-Württemberg";1985;"erdgas";2007;301,66;41857,2;166,51;"Mannheim";"MFH"
68259;"Baden-Württemberg";2004;"erdgas";2005;721,99;56063,7;93,18;"Mannheim";"MFH"
68199;"Baden-Württemberg";1990;"waerme";2006;740,51;73830;119,64;"Mannheim";"MFH"
68199;"Baden-Württemberg";1984;"waerme";2006;4200;381000;108,86;"Mannheim";"MFH"
68259;"Baden-Württemberg";1990;"erdgas";2014;347,99;36588,6;126,17;"Mannheim";"MFH"
68167;"Baden-Württemberg";1987;"waerme";2006;2700,53;241310;107,23;"Mannheim";"MFH"
68199;"Baden-Württemberg";1994;"waerme";2005;806,08;62650;93,27;"Mannheim";"MFH"
68199;"Baden-Württemberg";1987;"waerme";2008;319,57;33590;126,13;"Mannheim";"MFH"
68165;"Baden-Württemberg";1957;"waerme";2007;1476;122150;99,31;"Mannheim";"MFH"
68239;"Baden-Württemberg";1998;"erdgas";2005;308,29;34461,9;134,14;"Mannheim";"MFH"
68159;"Baden-Württemberg";1986;"waerme";2005;1372,45;124870;109,18;"Mannheim";"MFH"
68165;"Baden-Württemberg";1957;"waerme";2005;1476;128780;104,7;"Mannheim";"MFH"
68229;"Baden-Württemberg";1989;"erdgas";2005;302,81;34092;135,1;"Mannheim";"MFH"
68307;"Baden-Württemberg";1972;"heizoel";2002;396;75000,04;227,27;"Mannheim";"MFH"
68239;"Baden-Württemberg";1984;"waerme";2006;441,82;46480;126,24;"Mannheim";"MFH"
68159;"Baden-Württemberg";1951;"waerme";2009;858;77270;108,07;"Mannheim";"MFH"
68159;"Baden-Württemberg";1953;"waerme";2005;526,2;122900;280,27;"Mannheim";"MFH"
68163;"Baden-Württemberg";1960;"waerme";2004;1307,66;194000;178,03;"Mannheim";"MFH"
68309;"Baden-Württemberg";1970;"heizoel";2006;369,6;54976,32;178,49;"Mannheim";"MFH"
68239;"Baden-Württemberg";1993;"waerme";2004;2204,39;161630;87,99;"Mannheim";"MFH"
68199;"Baden-Württemberg";1993;"waerme";2007;553,2;34000;73,76;"Mannheim";"MFH"
68309;"Baden-Württemberg";1950;"heizoel";2005;429,6;66100;184,64;"Mannheim";"MFH"
68239;"Baden-Württemberg";1970;"heizoel";2014;480;50400;126;"Mannheim";"MFH"
68259;"Baden-Württemberg";2000;"erdgas";2005;912;68400;90;"Mannheim";"MFH"
68309;"Baden-Württemberg";1967;"waerme";2010;13514,4;790400;70,18;"Mannheim";"MFH"
68219;"Baden-Württemberg";1950;"heizoel";2013;838,8;92826,72;132,8;"Mannheim";"MFH"
68239;"Baden-Württemberg";1999;"waerme";2009;2150,4;115651;64,54;"Mannheim";"MFH"
68259;"Baden-Württemberg";1960;"heizoel";2005;360;47376;157,92;"Mannheim";"MFH"
68199;"Baden-Württemberg";2000;"waerme";2016;944,8;47260;60,02;"Mannheim";"MFH"
68259;"Baden-Württemberg";1999;"erdgas";2005;895,2;48197,7;64,61;"Mannheim";"MFH"
68229;"Baden-Württemberg";1996;"erdgas";2006;978,35;103764,6;127,27;"Mannheim";"MFH"
68169;"Baden-Württemberg";1989;"waerme";2005;304,8;42120;165,82;"Mannheim";"MFH"
68163;"Baden-Württemberg";2000;"waerme";2006;1538,6;85000;66,29;"Mannheim";"MFH"
68309;"Baden-Württemberg";1960;"waerme";2016;4839,6;235400;58,37;"Mannheim";"MFH"
68239;"Baden-Württemberg";1996;"waerme";2017;464,45;40380;104,34;"Mannheim";"MFH"
68169;"Baden-Württemberg";1995;"waerme";2006;521,05;42470;97,81;"Mannheim";"MFH"
68219;"Baden-Württemberg";1960;"heizoel";2006;450;48343,68;128,92;"Mannheim";"MFH"
68165;"Baden-Württemberg";1956;"waerme";2015;1080;95300;105,89;"Mannheim";"MFH"
68161;"Baden-Württemberg";1986;"waerme";2006;1337,17;132160;118,6;"Mannheim";"MFH"
68199;"Baden-Württemberg";1958;"waerme";2003;336;38110;136,11;"Mannheim";"MFH"
68259;"Baden-Württemberg";1983;"erdgas";2007;5655,36;563530;119,57;"Mannheim";"MFH"
68229;"Baden-Württemberg";1986;"erdgas";2009;747,6;105570;169,45;"Mannheim";"MFH"
68163;"Baden-Württemberg";1993;"erdgas";2005;565,36;56621,7;120,19;"Mannheim";"MFH"
